date,daily_fees_usd,daily_revenue_usd,daily_volume_usd,tvl_usd,month
2024-03-27,33195.0,27833.0,,2960089732,2024-03
2024-03-28,40435.0,34839.0,,3031491068,2024-03
2024-03-29,65510.0,56354.0,,3185286578,2024-03
2024-03-30,50452.0,42921.0,,3285359252,2024-03
2024-03-31,47803.0,41016.0,,3364805201,2024-03
2024-04-01,47651.0,40492.0,,3550334091,2024-04
2024-04-02,297564.0,251945.0,,3544458730,2024-04
2024-04-03,267078.0,230708.0,,3657598319,2024-04
2024-04-04,213447.0,188959.0,,3911726099,2024-04
2024-04-05,115958.0,102700.0,,3963119484,2024-04
2024-04-06,89951.0,79793.0,,4063379308,2024-04
2024-04-07,105389.0,93796.0,,4146446530,2024-04
2024-04-08,176731.0,162788.0,,4279224466,2024-04
2024-04-09,168402.0,150317.0,,4701554871,2024-04
2024-04-10,93584.0,81887.0,,4621816223,2024-04
2024-04-11,177576.0,162111.0,,4668803925,2024-04
2024-04-12,130495.0,118386.0,,4824934153,2024-04
2024-04-13,80013.0,71579.0,,4575010748,2024-04
2024-04-14,58893.0,51572.0,,4280703885,2024-04
2024-04-15,93736.0,81871.0,,4512010309,2024-04
2024-04-16,80171.0,70798.0,,4521832994,2024-04
2024-04-17,95311.0,85897.0,,4583480185,2024-04
2024-04-18,73757.0,64927.0,,4520916229,2024-04
2024-04-19,62194.0,55663.0,,4637500898,2024-04
2024-04-20,46192.0,40716.0,,4725138813,2024-04
2024-04-21,65547.0,59478.0,,4851935201,2024-04
2024-04-22,79057.0,72218.0,,4897299944,2024-04
2024-04-23,89474.0,78888.0,,5017921698,2024-04
2024-04-24,89958.0,80220.0,,5073549998,2024-04
2024-04-25,232022.0,208805.0,,5007353351,2024-04
2024-04-26,166474.0,153999.0,,4199178503,2024-04
2024-04-27,92717.0,84803.0,,4137681526,2024-04
2024-04-28,100881.0,92268.0,,4289448889,2024-04
2024-04-29,131622.0,117722.0,,4444064976,2024-04
2024-04-30,121702.0,111749.0,,4329225340,2024-04
2024-05-01,610274.0,603930.0,,4081837460,2024-05
2024-05-02,61025.0,56823.0,,4078081024,2024-05
2024-05-03,99231.0,92252.0,,4144858101,2024-05
2024-05-04,62419.0,57298.0,,4357859246,2024-05
2024-05-05,42196.0,38635.0,,4384305977,2024-05
2024-05-06,64263.0,59698.0,,4418635586,2024-05
2024-05-07,74957.0,70208.0,,4417877373,2024-05
2024-05-08,79840.0,75338.0,,4477285074,2024-05
2024-05-09,51857.0,47576.0,,4433907772,2024-05
2024-05-10,48985.0,45300.0,,4547568248,2024-05
2024-05-11,38609.0,35446.0,,4408603475,2024-05
2024-05-12,52476.0,49437.0,,4436005483,2024-05
2024-05-13,62533.0,58751.0,,4465778447,2024-05
2024-05-14,40183.0,37579.0,,4504713052,2024-05
2024-05-15,68246.0,65003.0,,4430839948,2024-05
2024-05-16,72616.0,67535.0,,4632025129,2024-05
2024-05-17,183360.0,169804.0,,4540175687,2024-05
2024-05-18,99598.0,92895.0,,4818247939,2024-05
2024-05-19,48462.0,45525.0,,4897591358,2024-05
2024-05-20,109199.0,102954.0,,4853312180,2024-05
2024-05-21,109258.0,99806.0,,5593452894,2024-05
2024-05-22,60357.0,55350.0,,5843123921,2024-05
2024-05-23,94687.0,88034.0,,5797530181,2024-05
2024-05-24,71758.0,65988.0,,5918233677,2024-05
2024-05-25,54464.0,50358.0,,5890614978,2024-05
2024-05-26,211380.0,207027.0,,5917760154,2024-05
2024-05-27,63841.0,57827.0,,6081343470,2024-05
2024-05-28,36994.0,33668.0,,6177139775,2024-05
2024-05-29,48740.0,44979.0,,6145328843,2024-05
2024-05-30,66546.0,60833.0,,6110114526,2024-05
2024-05-31,111370.0,108186.0,,6140319954,2024-05
2024-06-01,36357.0,32586.0,,6223437700,2024-06
2024-06-02,30758.0,28251.0,,6301372565,2024-06
2024-06-03,84139.0,77350.0,,6266038462,2024-06
2024-06-04,84676.0,76756.0,,6382370690,2024-06
2024-06-05,52349.0,47144.0,,6557725277,2024-06
2024-06-06,146743.0,135777.0,,6654472121,2024-06
2024-06-07,107449.0,99174.0,,6714884412,2024-06
2024-06-08,55840.0,51901.0,,6642963154,2024-06
2024-06-09,37035.0,34039.0,,6624834136,2024-06
2024-06-10,73625.0,69050.0,,6720554254,2024-06
2024-06-11,52517.0,48283.0,,6713681824,2024-06
2024-06-12,55302.0,52557.0,,6482906136,2024-06
2024-06-13,37668.0,35012.0,,6612307791,2024-06
2024-06-14,43948.0,41044.0,,6489535860,2024-06
